imdb_id,cumulative_revenue
tt1650536,"$23,957,607"
tt1934234,"$4,341,211"
tt2053425,"$25,807,712"
tt1424310,"$171,339,013"
tt1753813,"$6,366,835"
tt1597522,"$61,319,383"
tt1853614,"$6,748,888"
tt1723642,"$50,146,474"
tt0930085,nan
tt2076220,"$1,954,125"
tt2106476,"$17,230,506"
tt1797504,"$24,016,152"
tt1650048,"$399,784"
tt1883180,"$1,472,431"
tt2059255,"$7,699,095"
tt1706620,"$86,758,912"
tt2140203,"$54,999,779"
tt1937149,"$8,779,609"
tt2179121,"$31,303,580"
tt2210479,"$2,152,610"
tt2152779,"$1,541,144"
tt1655413,"$2,514,478"
tt1396226,"$9,075,131"
tt1764625,"$49,491,605"
tt1964624,"$16,190,771"
tt1872880,"$16,840,841"
tt1780762,"$294,696"
tt2282849,"$7,893,757"
tt1816518,"$8,111,137"
tt2263944,"$50,461,371"
tt1979319,"$37,687,024"
tt2258858,"$6,499,169"
tt1850394,"$31,822,402"
tt1986843,"$16,049,338"
tt2070776,"$12,698,385"
tt2024519,"$5,990,754"
tt2368672,"$23,047,905"
tt2508478,"$6,880,371"
tt2243389,"$21,245,677"
tt2113681,"$51,167,572"
tt1937133,"$25,109,572"
tt2550838,"$10,275,097"
tt2013293,"$136,454,220"
tt2576852,"$24,638,337"
tt2278871,"$19,465,835"
tt2404461,"$12,673,462"
tt1634003,"$32,768,940"
tt2483050,"$7,354,579"
tt2027140,"$10,435,322"
tt2215395,"$14,691,318"
tt2626902,nan
tt2625030,"$31,672,872"
tt1667355,"$6,677,474"
tt2617828,"$599,721"
tt2298384,"$3,222,965"
tt2538654,"$17,400,053"
tt2293138,"$9,979,302"
tt2467480,"$18,614,277"
tt3759416,"$42,800,509"
tt2018079,"$15,288,523"
tt2186812,"$12,604,999"
tt2751576,"$3,096,999"
tt2418558,"$5,524,381"
tt2375379,"$74,223,861"
tt2331143,"$37,170,163"
tt2767948,"$11,115,274"
tt2358891,"$24,271,739"
tt2392672,"$423,619"
tt2404738,"$7,422,695"
tt2265171,"$6,566,916"
tt2495118,"$3,967,001"
tt2276778,"$32,867,967"
tt2447934,"$4,206,343"
tt2354181,"$14,057,569"
tt2752200,"$9,757,417"
tt2427892,"$687,505"
tt1649443,"$4,915,757"
tt2261749,"$22,025,731"
tt2852458,"$1,131,241"
tt2315200,"$24,991,467"
tt2350496,"$11,621,777"
tt2668134,"$18,010,317"
tt2438644,"$13,656,380"
tt2406252,"$8,533,375"
tt2316801,"$47,430,624"
tt2935564,"$12,062,441"
tt2591814,"$418,256"
tt2430044,"$4,727,775"
tt2351310,"$19,775,853"
tt2853614,"$17,891,858"
tt2464018,"$21,909,567"
tt2420886,"$4,914,774"
tt1181840,"$3,484,370"
tt3146360,nan
tt1937118,"$16,968,297"
tt1921149,"$4,809,022"
tt2718492,"$11,156,836"
tt2378281,"$100,502,638"
tt2981768,nan
tt2207072,"$19,226,272"
tt3029558,"$52,696,176"
tt2737050,"$9,016,922"
tt3254706,"$5,824,753"
tt3212812,"$39,195,565"
tt3066270,"$69,903,094"
tt2987732,"$77,676,735"
tt3253930,"$9,014,591"
tt2955316,"$78,768,613"
tt1702014,"$1,207,841"
tt2991224,"$1,024,132"
tt3040510,"$6,804,918"
tt3374966,"$6,782,571"
tt2832470,"$1,187,477"
tt3398268,"$34,949,567"
tt3004278,"$11,846,676"
tt3318220,nan
tt2465578,"$9,113,941"
tt3420060,"$10,181,248"
tt2707858,"$21,026,290"
tt3092076,"$20,268,560"
tt3296204,"$16,562,487"
tt2969776,"$10,820,100"
tt3421514,"$53,425,036"
tt2441982,"$18,552,314"
tt2650978,"$2,390,284"
tt3438354,"$5,539,410"
tt3237406,"$10,736,157"
tt3202120,"$14,454,364"
tt2836252,"$16,301,210"
tt2675914,"$904,446"
tt3508840,"$11,991,669"
tt2536428,"$1,129,817"
tt3140100,"$11,536,119"
tt2764784,"$5,793,245"
tt3173524,"$14,119,210"
tt2631186,"$7,934,787"
tt3686272,"$2,026,510"
tt2800240,"$176,404,493"
tt3013602,"$20,334,564"
tt2758880,"$4,018,705"
tt2802154,"$4,439,481"
tt2121382,"$4,094,339"
tt3011894,"$30,642,704"
tt3409392,"$7,179,391"
tt3655522,"$1,862,990"
tt2720680,"$1,363,964"
tt3399024,"$39,178,695"
tt3488462,"$78,127,384"
tt3638012,nan
tt3204144,"$2,446,362"
tt3365778,"$1,158,695"
tt1920885,"$85,557,721"
tt2891070,"$7,555,591"
tt3098306,"$13,061,533"
tt3202202,"$18,428,235"
tt3019796,"$27,567,832"
tt4531694,"$14,496,436"
tt3260022,"$5,188,128"
tt1220911,"$16,372,941"
tt3152602,"$7,664,764"
tt3086442,"$2,193,474"
tt3042408,"$7,700,259"
tt3825638,"$4,574,756"
tt2231489,"$17,150,803"
tt2978426,"$9,307,095"
tt4016934,"$37,767,206"
tt2952602,"$24,070,765"
tt5215952,"$49,851,770"
tt2072230,"$30,810,658"
tt3764194,"$2,720,974"
tt2338151,"$100,370,104"
tt3667648,"$9,382,573"
tt3825738,"$6,571,282"
tt3825750,"$4,626,678"
tt3672840,"$122,606,884"
tt4065308,"$9,462,298"
tt3289126,nan
tt3078296,"$5,216,102"
tt3819668,"$61,768,190"
tt3547740,"$72,751,538"
tt3860294,"$2,495,677"
tt2909116,"$125,837,070"
tt4229938,"$15,377,544"
tt3742378,"$3,003,560"
tt3312830,"$23,459,358"
tt4082068,"$5,562,575"
tt3278330,"$5,497,104"
tt4262980,"$78,048,505"
tt3907790,"$17,368,659"
tt4272866,"$49,768,644"
tt3756788,"$15,918,101"
tt3013610,"$7,723,656"
tt3717532,"$2,949,185"
tt4176826,"$25,513,752"
tt4080672,"$21,835,307"
tt4298958,"$4,728,350"
tt4359416,"$3,906,227"
tt4226388,"$3,191,971"
tt3705388,"$3,219,351"
tt4142022,"$4,518,908"
tt4058500,"$4,208,906"
tt4024546,"$10,846,026"
tt3858372,"$8,574,386"
tt3809308,"$4,156,499"
tt3713944,"$25,364,150"
tt4466362,"$8,540,288"
tt3916378,"$5,626,528"
tt3702996,"$83,027,924"
tt3478962,"$8,003,331"
tt3791302,"$4,323,120"
tt3792960,"$15,709,652"
tt4400058,"$24,563,629"
tt1659619,"$9,722,918"
tt4326444,"$22,468,044"
tt4083850,nan
tt4466936,"$3,877,000"
tt4643844,"$6,246,660"
tt3841424,"$3,169,553"
tt3808342,"$6,659,121"
tt3966404,"$5,274,664"
tt4285496,"$3,217,176"
tt3616916,"$12,975,143"
tt4960934,nan
tt3716530,"$12,748,594"
tt3666024,"$6,591,789"
tt4645368,"$9,231,823"
tt4085944,"$7,663,798"
tt3754940,"$9,027,600"
tt3811986,"$6,243,133"
tt2191765,"$6,045,343"
tt4466864,"$35,771,820"
tt4776556,"$1,418,274"
tt4618398,"$38,362,448"
tt4232610,"$3,056,677"
tt3626742,"$40,591,862"
tt4088268,"$9,651,271"
tt4080728,"$30,691,696"
tt2290397,nan
tt3863552,"$121,126,188"
tt4849438,"$254,158,390"
tt3169770,"$3,456,773"
tt3655414,"$9,041,187"
tt4411504,"$20,381,995"
tt4600952,"$9,765,483"
tt4025514,"$5,217,330"
tt1167611,"$660,922"
tt5122374,"$17,000,172"
tt4948452,"$5,411,932"
tt5074352,"$303,723,636"
tt4172042,"$1,783,792"
tt4057632,"$3,985,169"
tt3775086,"$5,973,344"
tt3700392,"$38,755,161"
tt2888046,"$157,029,618"
tt4699388,"$8,273,919"
tt4576612,"$1,001,196"
tt3734678,"$1,712,863"
tt4926538,"$35,210,425"
tt4400038,"$15,291,827"
tt4741686,"$5,777,198"
tt4625516,nan
tt4922692,"$7,551,282"
tt4835252,"$6,462,232"
tt5311514,"$358,922,706"
tt5300948,"$8,447,319"
tt5290524,"$75,878,701"
tt4048272,"$11,784,207"
tt4273292,"$133,324"
tt5186714,"$6,953,604"
tt4300480,"$2,412,312"
tt5259966,"$23,540,937"
tt5029602,"$14,039,310"
tt4979860,"$24,224,579"
tt4331970,"$2,050,766"
tt5029608,"$7,478,354"
tt5221584,"$3,085,977"
tt5078214,"$4,971,428"
tt4505208,"$8,003,756"
tt5323662,"$30,490,447"
tt4769824,"$19,496,308"
tt4621872,"$9,029,150"
tt4901306,"$31,261,490"
tt4741714,nan
tt5253294,"$22,955,486"
tt5351818,"$9,684,093"
tt5078204,"$49,619,118"
tt5833730,"$9,798,848"
tt5736696,"$34,598,750"
tt4993964,"$7,268,779"
tt5115024,"$17,455,542"
tt4857596,"$8,405,304"
tt5910280,"$52,444,295"
tt5436082,"$502,615"
tt5595168,"$5,725,482"
tt5091538,"$8,750,678"
tt4924942,"$3,955,278"
tt4954522,"$3,096,815"
tt2321405,"$5,873,256"
tt4730986,"$2,297,612"
tt5555502,"$4,401,654"
tt4944596,"$3,369,996"
tt5923962,"$2,359,127"
tt5700672,"$92,688,375"
tt5727282,"$3,430,165"
tt5256722,"$9,755,458"
tt5091612,"$10,898,998"
tt5657028,"$29,370,592"
tt2398149,"$18,675,714"
tt5776208,"$256,320"
tt4731148,"$19,454,845"
tt4964788,"$19,176,163"
tt6304046,"$1,463,727"
tt5263116,"$4,165,279"
tt5147214,"$73,010"
tt5897288,"$3,457,091"
tt5197068,"$5,595,545"
tt4857264,"$31,191,910"
tt5976178,"$2,697,522"
tt4771896,"$2,341,847"
tt8333746,"$17,133,446"
tt5544384,"$29,322,339"
tt4650414,nan
tt5893264,"$3,988,331"
tt6523720,"$13,837,294"
tt6748466,"$6,521,238"
tt6281538,"$3,130,495"
tt6302050,"$10,748,185"
tt6197094,"$4,094,269"
tt5979872,"$3,729,856"
tt5121816,"$3,662,671"
tt3838034,"$2,385,151"
tt5157682,"$817,240"
tt5723272,"$5,104,991"
tt7066382,"$47,427,990"
tt4682788,"$17,535,962"
tt6284414,"$2,038,275"
tt5084170,"$7,162,617"
tt5607028,"$8,053,641"
tt5176252,"$3,185,945"
tt6155172,"$1,140,769"
tt5969846,"$4,855,506"
tt6183834,"$5,734,206"
tt6085872,"$7,272,904"
tt5540188,"$3,979,536"
tt6304162,"$3,925,992"
tt5639354,"$3,702,353"
tt6293516,"$899,782"
tt5041296,"$1,346,352"
tt5804948,"$9,548,364"
tt5258850,"$16,094,346"
tt6336356,"$41,978,431"
tt5598172,"$1,162,912"
tt6095616,"$2,796,077"
tt5699154,"$32,754,358"
tt5247704,"$11,625,884"
tt6021478,"$21,571,464"
tt5061360,"$9,242,157"
tt6144762,"$5,319,108"
tt6548966,"$1,420,035"
tt7238392,"$38,598,227"
tt5598100,"$8,700,784"
tt6101820,"$33,262,366"
tt3300980,"$9,567,121"
tt5808778,"$89,208"
tt6137734,"$11,538,940"
tt5607714,"$2,131,259"
tt6595896,"$37,552,144"
tt6060156,"$7,158,925"
tt6878038,"$86,252,940"
tt6777338,"$8,737,458"
tt6445396,"$3,202,694"
tt6471264,"$64,236,772"
tt7029854,"$1,644,818"
tt6009140,"$3,606,673"
tt6515342,"$5,394,474"
tt6537238,"$16,746,823"
tt5897292,"$2,986,118"
tt6373590,"$1,042,265"
tt6543652,"$20,523,431"
tt6340296,"$4,461,317"
tt5479616,nan
tt5862312,"$6,123,089"
tt5753552,"$2,839,240"
tt2762506,"$3,423,433"
tt5979874,"$3,285,291"
tt2076298,"$175,155,082"
tt6116856,nan
tt7262882,"$21,832,649"
tt7018010,"$19,222,086"
tt6002232,"$3,790,303"
tt6135348,"$7,704,369"
tt6367558,"$5,012,423"
tt6462462,"$10,968,212"
tt6859418,"$49,954,866"
tt6793580,"$25,660,489"
tt7064498,"$7,362,730"
tt6189344,"$1,236,244"
tt4266076,"$95,208"
tt6838702,"$22,466,659"
tt7136896,"$19,024,452"
tt6960736,"$5,498,768"
tt6690004,"$7,853,811"
tt7027092,"$1,654,611"
tt6738136,"$913,331"
tt7063210,"$5,784,397"
tt6892400,"$4,996,317"
tt7048622,"$3,601,603"
tt7533422,"$3,277,932"
tt8523334,"$14,702,744"
tt7512574,"$822,764"
tt7156222,"$1,988,526"
tt6900448,"$27,526,961"
tt5592878,"$56,516"
tt5092380,"$2,842,040"
tt7025976,"$7,611,035"
tt6752992,"$1,802,696"
tt6768578,"$5,080,147"
tt7458762,"$12,652,790"
tt7476116,"$39,193,850"
tt7456310,"$31,329,947"
tt7210426,"$8,122,023"
tt6892206,"$7,050,856"
tt7451284,nan
tt7022404,"$10,591,001"
tt7187860,"$4,229,602"
tt7105944,"$11,740,817"
tt6742252,"$4,598,051"
tt7533956,"$3,769,078"
tt7489816,"$13,189,388"
tt7057496,"$9,968,972"
tt7543930,"$7,086,596"
tt8098548,"$6,366,790"
tt7282468,"$7,566,962"
tt7129926,"$11,428,014"
tt6982104,"$4,014,383"
tt7648416,"$1,521,937"
tt6892340,"$2,801,080"
tt6751668,"$254,207,199"
tt4844148,"$35,969,998"
tt6708116,"$3,067,893"
tt7925800,nan
tt8633950,"$10,990,090"
tt7961060,"$115,560,610"
tt6892462,"$2,747,894"
tt8075192,"$67,998,954"
tt7745068,"$21,022,724"
tt6556670,"$72,300,780"
tt8820590,"$35,950,901"
tt8359848,"$2,027,391"
tt9089294,"$3,914,227"
tt3711510,"$728,729"
tt8095860,"$7,755,652"
tt8176578,"$408,244"
tt7914416,"$27,590,180"
tt6854672,"$545,206"
tt6857988,nan
tt8254556,"$4,178,992"
tt7279014,"$2,355,619"
tt8267604,"$64,413,178"
tt5501104,"$2,177,678"
tt8291806,"$37,137,074"
tt7534068,"$6,795,812"
tt6679412,nan
tt8335880,"$2,985,436"
tt8001346,"$46,221,204"
tt6704776,"$2,701,645"
tt6908274,"$17,325,485"
tt8613070,"$22,978,382"
tt6918220,"$4,558,192"
tt7605074,"$699,760,773"
tt7121252,"$657,690"
tt8201404,"$23,556,486"
tt7201846,"$5,982,358"
tt7475206,"$5,311,875"
tt8619812,"$21,105,636"
tt7278824,"$2,440,478"
tt8418652,"$5,726,553"
tt9426210,"$186,829,542"
tt8265928,"$5,819,588"
tt9239888,nan
tt8740778,"$2,298,525"
tt8660788,"$8,299,778"
tt7736478,"$8,650,229"
tt8655470,"$19,343,448"
tt4516162,"$2,808,018"
tt10407272,"$5,373,112"
tt8976832,nan
tt10199590,"$18,202,623"
tt9806192,"$1,136,431"
tt8783532,"$14,136,095"
tt9150970,nan
tt9260446,"$5,646,793"
tt10413566,"$50,347,705"
tt9172422,"$14,298,084"
tt10492998,"$8,384,831"
tt8613876,nan
tt8228288,"$592,765"
tt10611372,"$39,273,021"
tt10431500,"$17,321,629"
tt10731748,nan
tt9806322,nan
tt10937434,nan
tt9345754,"$1,845"
